chr	strand	mstarts	mends
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	+	NA	NA
chr1	+	NA	NA
chr1	-	NA	NA
chr1	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
chr5	+	NA	NA
chr5	-	NA	NA
